ID,병원/약국명,병원/약국구분,전화번호,우편번호,소재지주소
1,세종충남대학교병원,종합병원,1800-3114,30099,"세종특별자치시 보듬7로 20, 세종충남대학교병원 (도담동)"
2,의료법인 영제 의료재단 엔케이세종병원,종합병원,044-850-7700,30130,"세종특별자치시 한누리대로 161, 세종시 NK리움힐 상가 1~8층 (나성동)"
3,한마음효요양병원,요양병원,044-863-7200,30016,"세종특별자치시 조치원읍 금이로 53-11, (조치원읍)"
4,운주산성요양병원,요양병원,044-1544-0240,30009,"세종특별자치시 전동면 모산고개길 96-25, (전동면)"
5,의료법인 선은의료재단 중앙요양병원,요양병원,044-865-0066,30016,"세종특별자치시 조치원읍 섭골길 37, ()"
6,조치원노인전문병원,요양병원,044-862-7607,30042,"세종특별자치시  연서면 도신고복로 789-17, 789"
7,의료법인은혜의료재단 은혜기독병원,정신병원,044-868-5004,30045,"세종특별자치시 연서면 효교로 135-30, ()"
8,트리니움여성병원,병원,044-270-0114,30147,"세종특별자치시 한누리대로 1934, 메인타워 (반곡동)"
9,아름드리나무어린이병원,병원,044-715-7200,30100,"세종특별자치시 보듬3로 101, 5층 일부, 6-7층 (아름동)"
10,서울현병원,병원,1600-5626,30128,"세종특별자치시 나성북로 15, MVG 4-7층 (나성동)"
11,중앙의원,의원,044-862-4408,30004,"세종특별자치시 전의면 읍내길 20, (전의면)"
12,전의의원,의원,044-863-2828,30004,"세종특별자치시 전의면 읍내길 13, 13"
13,누가연합의원,의원,044-863-0494,30004,"세종특별자치시 전의면 읍내길 7, ()"
14,서울연합의원,의원,044-523-3375,30001,"세종특별자치시 소정면 소정구길 164, 103,201호"
15,장현진정형외과의원,의원,044-863-1150,30026,"세종특별자치시 조치원읍 조치원로 62, 62"
16,김형기신경외과의원,의원,044-868-7574,30024,"세종특별자치시  조치원읍 새내로 132, (조치원읍)"
17,유성연합의원,의원,044-868-6617,30024,"세종특별자치시 조치원읍 새내로 132, ()"
18,하나의원,의원,044-864-7612,30026,"세종특별자치시 조치원읍 조치원로 42, 1층"
19,이내과의원,의원,044-865-3571,30024,"세종특별자치시 조치원읍 조치원로 31, 31"
20,장동석내과의원,의원,044-868-8841,30024,"세종특별자치시 조치원읍 새내로 122, 메가박스 3층 306,307,308,309,310,311,312호"
21,한사랑산부인과의원,의원,044-867-8433,30024,"세종특별자치시 조치원읍 새내로 122, (세종시네마 1동 301호, 302호, 303호, 304호,305호)"
22,홍은표외과의원,의원,044-863-7502,30024,"세종특별자치시 조치원읍 새내로 122, 메가박스 210~212호"
23,선비뇨기과의원,의원,044-868-8866,30027,"세종특별자치시 조치원읍 조치원로 26, ()"
24,문내과의원,의원,044-867-6551,30027,"세종특별자치시 조치원읍 조치원로 22, 22"
25,서울연합외과의원,의원,044-865-3838,30027,"세종특별자치시 조치원읍 조치원로 22, 3층"
26,성심외과의원,의원,044-865-3616,30023,"세종특별자치시 조치원읍 새내로 113, ()"
27,성모이비인후과의원,의원,044-863-1803,30023,"세종특별자치시 조치원읍 조치원로 7, 7"
28,하나로내과의원,의원,044-862-5900,30027,"세종특별자치시 조치원읍 새내로 102, 1,2층"
29,신화비뇨기과의원,의원,044-865-9999,30023,"세종특별자치시 조치원읍 조치원1길 6, 6"
30,김내과의원,의원,044-862-3575,30027,"세종특별자치시 조치원읍 새내로 98, 98"
